Genotype	PB2	PB1	PA	NP	NA	MP	NS
A	20	20	20	20	20	20	20
AA	1	1	1	26	1	20	1
AB	31	1	3	38	1	20	1
AC	4	1	1	1	1	20	1
AD	4	27	1	31	1	20	1
AE	4	1	1	15	1	20	1
AF	12	6	1	50	1	20	29
AG	12	1	1	50	1	20	1
AH	12	1	1	1	1	20	1
AI	7	1	8	37	1	20	29
AJ	10	1	1	1	1	20	1
AK	10	1	3	38	1	20	1
AL	1	1	1	11	1	20	1
AM	1	1	1	12	1	20	1
AN	31	1	1	1	1	20	1
AO	13	1	1	38	1	20	1
AP	45	31	32	32	1	20	28
AQ	31	1	8	37	1	20	27
AR	1	18	14	16	62	16	27
AS	1	1	3	38	1	20	1
AT	12	1	1	37	1	20	1
AU	19	1	14	21	22	20	1
AV	1	1	3	1	1	20	1
AW	4	23	1	11	1	20	27
AX	31	1	1	38	1	20	1
AY	31	1	24	38	1	20	1
AZ	1	31	1	12	1	20	1
B	35	45	1	1	30	20	20
BA	13	1	1	1	1	20	1
BB	31	1	43	43	1	20	43
BC	45	1	43	37	1	20	27
BD	31	31	8	26	1	20	1
BE	4	1	14	26	1	20	1
BF	13	1	1	11	1	20	1
C	1	1	1	1	1	20	1
CA	31	1	3	16	1	16	1
CB	32	1	3	38	1	20	1
CC	12	1	8	38	1	20	1
CD	31	1	3	37	1	20	29
CE	44	1	3	38	1	20	1
CF	31	1	3	15	1	20	1
CG	4	1	3	26	1	20	1
CH	31	1	3	26	1	20	1
CI	10	1	12	38	1	20	1
CK	4	1	3	38	1	20	1
CL	31	1	48	38	1	20	1
CM	31	49	3	38	1	20	1
CN	31	31	3	26	1	20	1
CP	31	31	3	38	1	20	1
CQ	31	1	3	37	1	20	1
CR	31	1	3	38	1	20	28
CS	34	1	3	38	1	20	51
D	20	20	20	20	27	20	20
E	20	20	29	20	27	20	20
F	27	20	29	37	27	20	20
G	31	31	32	12	17	20	1
H	20	31	29	27	63	20	20
I	25	14	25	26	13	20	28
J	31	23	5	26	2	20	28
L	25	1	1	1	13	20	1
M	20	20	14	20	20	20	20
N	12	33	20	36	64	20	20
O	20	29	14	20	20	20	20
P	31	23	3	26	2	20	28
Q	20	20	20	26	20	20	20
R	20	20	29	15	27	20	20
V	34	1	1	1	1	20	1
X	20	9	14	16	61	20	20
DA	4	52	3	38	1	20	27
DB	31	53	3	38	1	20	1
DC	41	53	32	36	1	20	1
DD	41	1	3	26	1	20	56
DE	41	53	3	26	1	20	56
DG	57	1	14	38	1	20	1
DI	14	14	3	38	1	20	27
